Modelo,Cota,Num Paises,Acierto exacto (%),RMSE,MSE,MAE,R2
"LassoLars(alpha=0.1, normalize=False)",0.0,11,0.0,38146.954101277406,1455190107.2049649,29559.293070577587,0.5429200317083841
BayesianRidge(),0.0,11,0.0,49993.89462981661,2499389500.257206,41885.412973970924,0.21493358986596633
LogisticRegression(max_iter=2000),0.0,12,3.0,53053.722142560364,2814697433.18,41454.78,0.11589433769618362
LinearRegression(),0.0,12,0.0,38249.9492142927,1463058614.8959703,29642.660120529003,0.5404485077280465
Ridge(alpha=0.5),0.0,12,0.0,37690.70677946082,1420589377.5352943,29599.09337038391,0.5537882339741739
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,12,0.0,37819.33408343012,1430302030.5140991,29757.23409260172,0.5507374579321991
Lasso(alpha=0.1),0.0,12,0.0,38248.547264213565,1462951367.8227792,29642.3841447701,0.5404821943842235
"LassoLars(alpha=0.1, normalize=False)",0.0,12,0.0,38248.91072706962,1462979171.807341,29642.378500131526,0.540473461061808
BayesianRidge(),0.0,12,0.0,49694.19348360163,2469512865.985635,41524.935274635056,0.2243179383286834
LogisticRegression(max_iter=2000),0.0,13,3.0,51714.72451739446,2674412731.91,40006.05,0.15995822082101496
LinearRegression(),0.0,13,0.0,38258.586122340785,1463719412.0805671,29677.16712339861,0.5402409491728535
Ridge(alpha=0.5),0.0,13,0.0,37698.88981890934,1421206293.5782664,29597.03104528822,0.5535944586289705
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,13,0.0,37755.6704926767,1425490654.351578,29473.06667353847,0.5522487269086136
Lasso(alpha=0.1),0.0,13,0.0,38257.148148832784,1463609384.48174,29676.82762138444,0.5402755092012195
"LassoLars(alpha=0.1, normalize=False)",0.0,13,0.0,38257.426007468035,1463630644.7168915,29676.723236974263,0.5402688312918792
BayesianRidge(),0.0,13,0.0,49632.87656451361,2463422436.068244,41328.10665827574,0.22623096226950046
LogisticRegression(max_iter=2000),0.0,14,3.0,56088.8093244098,3145954531.43,46416.83,0.011845400574625575
LinearRegression(),0.0,14,0.0,38334.93443548697,1469567198.1730845,29862.391343075848,0.5384041404503987
Ridge(alpha=0.5),0.0,14,0.0,37827.63924613618,1430930290.9358222,29851.69822990273,0.5505401192805561
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,14,0.0,38033.30658730192,1446532409.9637036,29978.469372287273,0.5456394427055595
Lasso(alpha=0.1),0.0,14,0.0,38333.73253215013,1469475049.8464248,29862.425785450636,0.5384330845409468
"LassoLars(alpha=0.1, normalize=False)",0.0,14,0.0,38333.89039149343,1469487152.547032,29862.169106735942,0.538429283043134
BayesianRidge(),0.0,14,0.0,49440.02833256236,2444316401.524569,41189.20540904042,0.23223223015894146
LogisticRegression(max_iter=2000),0.0,15,3.0,52588.00528742272,2765498300.11,41592.15,0.13134794617817358
LinearRegression(),0.0,15,0.0,38553.2745168088,1486354975.9684186,30131.802032994085,0.5331310445817657
Ridge(alpha=0.5),0.0,15,0.0,38124.54145347447,1453480661.0376935,30187.03922024672,0.5434569743360613
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,15,0.0,38882.78243649166,1511870770.0035443,30674.236397821875,0.5251164502887138
Lasso(alpha=0.1),0.0,15,0.0,40937.529824998084,1675881348.1726074,31133.123001709857,0.4736001916927872
"LassoLars(alpha=0.1, normalize=False)",0.0,15,0.0,38559.0966459128,1486803934.148844,30137.471497041246,0.5329900253500811
BayesianRidge(),0.0,15,0.0,52058.39179281483,2710076156.05421,42703.282410058935,0.14875622274784495
LogisticRegression(max_iter=2000),0.0,16,4.0,54469.2001853341,2966893768.83,41688.75,0.06808897128490432
LinearRegression(),0.0,16,0.0,38489.17575082307,1481416649.977747,30081.457784137063,0.5346821889140794
Ridge(alpha=0.5),0.0,16,0.0,38077.70597962361,1449911692.6706638,30148.398998762394,0.5445779989636745
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,16,0.0,38813.57226499856,1506493391.9702659,30606.56930775995,0.5268055023024496
Lasso(alpha=0.1),0.0,16,0.0,40822.78295099243,1666499607.863838,31054.872434543475,0.47654702698366824
"LassoLars(alpha=0.1, normalize=False)",0.0,16,0.0,38478.420036857075,1480588808.5328043,30073.09891919096,0.5349422166173543
BayesianRidge(),0.0,16,0.0,52053.4927242708,2709566104.795713,42612.57560983206,0.14891643151500655
LogisticRegression(max_iter=2000),0.0,17,3.0,56321.92765397861,3172159534.66,45721.78,0.0036143234211007957
LinearRegression(),0.0,17,0.0,38253.68180489315,1463344171.6300132,29744.362069105227,0.5403588134246731
Ridge(alpha=0.5),0.0,17,0.0,37847.52896532511,1432435448.7811234,29867.791344550988,0.550067344282432
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,17,0.0,38539.00714009467,1485255071.3442676,30300.351798088428,0.5334765282187431
Lasso(alpha=0.1),0.0,17,0.0,40480.26905569805,1638652182.821705,30640.081776046613,0.48529399419588315
"LassoLars(alpha=0.1, normalize=False)",0.0,17,0.0,38447.459153267846,1478207115.3421993,29870.525410128943,0.5356903142319904
BayesianRidge(),0.0,17,0.0,51734.76890789968,2676486313.953783,42402.503398582536,0.15930690192451502
LogisticRegression(max_iter=2000),0.0,18,3.0,52469.81477449677,2753081462.47,41249.53,0.13524811545961168
LinearRegression(),0.0,18,0.0,37951.65617320827,1440328206.2894175,29503.144409320317,0.5475882033552346
Ridge(alpha=0.5),0.0,18,0.0,37498.258435896714,1406119385.7252991,29580.822935924836,0.558333305690196
